TIME	E	S	ES1	ES2	P	
0.000000E+00	1.000000E-06	1.000000E-04	0.000000E+00	0.000000E+00	0.000000E+00	
1.000914E+00	1.203682E-08	9.253833E-05	8.983443E-08	8.981288E-07	6.473707E-06	
2.000914E+00	1.292883E-08	8.607557E-05	8.975332E-08	8.973178E-07	1.293736E-05	
3.000914E+00	1.396252E-08	7.961925E-05	8.965932E-08	8.963782E-07	1.939471E-05	
4.000914E+00	1.517433E-08	7.317043E-05	8.954914E-08	8.952765E-07	2.584474E-05	
5.000914E+00	1.661429E-08	6.673050E-05	8.941820E-08	8.939675E-07	3.228611E-05	
6.000914E+00	1.835298E-08	6.030124E-05	8.926010E-08	8.923869E-07	3.871712E-05	
7.000914E+00	2.049322E-08	5.388501E-05	8.906549E-08	8.904413E-07	4.513548E-05	
8.000914E+00	2.319069E-08	4.748509E-05	8.882021E-08	8.879891E-07	5.153810E-05	
9.000914E+00	2.669257E-08	4.110611E-05	8.850179E-08	8.848056E-07	5.792058E-05	
1.000091E+01	3.141548E-08	3.475502E-05	8.807233E-08	8.805122E-07	6.427640E-05	
1.100091E+01	3.811826E-08	2.844280E-05	8.746285E-08	8.744189E-07	7.059531E-05	
1.200091E+01	4.833523E-08	2.218840E-05	8.653382E-08	8.651309E-07	7.685994E-05	
1.300091E+01	6.566497E-08	1.602849E-05	8.495802E-08	8.493770E-07	8.303718E-05	
1.400091E+01	1.006856E-07	1.004835E-05	8.177355E-08	8.175409E-07	8.905233E-05	
1.500091E+01	1.982206E-07	4.518257E-06	7.290446E-08	7.288749E-07	9.467996E-05	
1.600091E+01	6.005618E-07	7.116878E-07	3.631869E-08	3.631195E-07	9.888887E-05	
1.700091E+01	9.682717E-07	3.644329E-08	2.884754E-09	2.884350E-08	9.993183E-05	
1.800091E+01	9.984464E-07	1.743509E-09	1.412581E-10	1.412392E-09	9.999670E-05	
1.900091E+01	9.999282E-07	8.683034E-11	6.529043E-12	6.528096E-11	9.999984E-05	
2.000091E+01	9.999957E-07	3.511967E-12	3.926154E-13	3.925271E-12	9.999999E-05	
2.100091E+01	9.999998E-07	1.772979E-13	1.591558E-14	1.591358E-13	1.000000E-04	
2.200091E+01	1.000000E-06	7.322061E-15	6.530948E-16	6.530086E-15	1.000000E-04	
2.300091E+01	1.000000E-06	3.014840E-16	2.689101E-17	2.688746E-16	1.000000E-04	
2.400091E+01	1.000000E-06	1.241353E-17	1.107231E-18	1.107084E-17	1.000000E-04	
2.500091E+01	1.000000E-06	5.111238E-19	4.558994E-20	4.558392E-19	1.000000E-04	
2.600091E+01	1.000000E-06	2.104539E-20	1.877154E-21	1.876906E-20	1.000000E-04	
2.700091E+01	1.000000E-06	8.665387E-22	7.729134E-23	7.728114E-22	1.000000E-04	
2.800091E+01	1.000000E-06	3.567951E-23	3.182451E-24	3.182031E-23	1.000000E-04	
2.900091E+01	1.000000E-06	1.469095E-24	1.310366E-25	1.310193E-24	1.000000E-04	
3.000091E+01	1.000000E-06	6.048960E-26	5.395400E-27	5.394688E-26	1.000000E-04	
3.100091E+01	1.000000E-06	2.490644E-27	2.221542E-28	2.221249E-27	1.000000E-04	
3.200091E+01	1.000000E-06	1.025516E-28	9.147143E-30	9.145936E-29	1.000000E-04	
3.300091E+01	1.000000E-06	4.222538E-30	3.766313E-31	3.765816E-30	1.000000E-04	
3.400091E+01	1.000000E-06	1.738619E-31	1.550770E-32	1.550565E-31	1.000000E-04	
3.500091E+01	1.000000E-06	7.158720E-33	6.385255E-34	6.384413E-33	1.000000E-04	
3.600091E+01	1.000000E-06	2.947585E-34	2.629113E-35	2.628766E-34	1.000000E-04	
3.700091E+01	1.000000E-06	1.213661E-35	1.082530E-36	1.082388E-35	1.000000E-04	
3.800091E+01	1.000000E-06	4.997216E-37	4.457291E-38	4.456703E-37	1.000000E-04	
3.900091E+01	1.000000E-06	2.057591E-38	1.835278E-39	1.835036E-38	1.000000E-04	
4.000091E+01	1.000000E-06	8.472079E-40	7.556712E-41	7.555715E-40	1.000000E-04	
4.100091E+01	1.000000E-06	3.488357E-41	3.111457E-42	3.111047E-41	1.000000E-04	
4.200091E+01	1.000000E-06	1.436322E-42	1.281135E-43	1.280965E-42	1.000000E-04	
4.300091E+01	1.000000E-06	5.914020E-44	5.275039E-45	5.274343E-44	1.000000E-04	
4.400091E+01	1.000000E-06	2.435083E-45	2.171984E-46	2.171697E-45	1.000000E-04	
4.500091E+01	1.000000E-06	1.002639E-46	8.943088E-48	8.941908E-47	1.000000E-04	
4.600091E+01	1.000000E-06	4.128341E-48	3.682294E-49	3.681808E-48	1.000000E-04	
4.700091E+01	1.000000E-06	1.699834E-49	1.516175E-50	1.515975E-49	1.000000E-04	
4.800091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
4.900091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
5.000091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
5.100091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
5.200091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
5.300091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
5.400091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
5.500091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
5.600091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
5.700091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
5.800091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
5.900091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
6.000091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
6.100091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
6.200091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
6.300091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
6.400091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
6.500091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
6.600091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
6.700091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
6.800091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
6.900091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
7.000091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
7.100091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
7.200091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
7.300091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
7.400091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
7.500091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
7.600091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
7.700091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
7.800091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
7.900091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
8.000091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
8.100091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
8.200091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
8.300091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
8.400091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
8.500091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
8.600091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
8.700091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
8.800091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
8.900091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
9.000091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
9.100091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
9.200091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
9.300091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
9.400091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
9.500091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
9.600091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
9.700091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
9.800091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
9.900091E+01	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
1.000009E+02	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
1.010009E+02	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
1.020009E+02	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
1.030009E+02	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
1.040009E+02	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
1.050009E+02	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
1.060009E+02	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
1.070009E+02	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
1.080009E+02	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
1.090009E+02	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
1.100009E+02	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
1.110009E+02	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
1.120009E+02	1.000000E-06	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E-04	
